phase,dataset,kir,data_seed,distance,k_gate,method,config_hash,guard_violation,eval_results,run_manifest,validation_oos_f1,validation_id_recall,validation_fpr95,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,run_elapsed_seconds,test_scoring_seconds,test_samples_per_second,process_peak_rss_mb
baselines,banking77_oos,25,13,,,energy,df8149f5da603b260830215984c4a104cef66208acf7a3653829ae9b8377f3eb,False,baselines/banking77_oos/kir25_seed13/energy/eval_results.json,baselines/banking77_oos/kir25_seed13/energy/run_manifest.json,0.8553459119496856,0.8783783783783784,0.5702702702702702,0.9824037184594954,0.8219444444444445,0.8950393224440412,0.8895833333333333,0.8219444444444445,0.9239664351851851,0.9886947679327461,0.42291666666666666,,0.007011529000010341,581898.7556058004,1228.61328125
baselines,banking77_oos,25,13,,,entropy,3008c510072abf0834198cc70e44abb0e7741812852f2fdf884ae329a8ba56b5,False,baselines/banking77_oos/kir25_seed13/entropy/eval_results.json,baselines/banking77_oos/kir25_seed13/entropy/run_manifest.json,0.857313790008974,0.8810810810810811,0.5405405405405406,0.981243830207305,0.8283333333333334,0.8983280614550384,0.88125,0.8283333333333334,0.9202094907407408,0.9877323024292406,0.4,,0.00682476200745441,597823.0443118137,1228.61328125
baselines,banking77_oos,25,13,,,knn,528f35c384266646f0338b9e88791c087b6cc93aaffae6bcadacab028548994b,False,baselines/banking77_oos/kir25_seed13/knn/eval_results.json,baselines/banking77_oos/kir25_seed13/knn/run_manifest.json,0.911990885787525,0.8810810810810811,0.3108108108108108,0.9849624060150376,0.8733333333333333,0.9257950530035336,0.9,0.8733333333333333,0.9536429398148147,0.9933365276623654,0.2375,,0.029298256005859002,139257.4356365816,1228.61328125
baselines,banking77_oos,25,13,,,lof,6dbb7ca238d8d8b4ad009035e0acd130135563d741e651837561a90b9b63eb6a,False,baselines/banking77_oos/kir25_seed13/lof/eval_results.json,baselines/banking77_oos/kir25_seed13/lof/run_manifest.json,0.8508719182200842,0.8783783783783784,0.4540540540540541,0.9832943534914801,0.8175,0.892765053844987,0.8958333333333334,0.8175,0.922726273148148,0.9879696813410703,0.4041666666666667,,0.05829234200064093,69992.04114933554,1228.61328125
baselines,banking77_oos,25,13,,,msp,bacac20cd046012cd544707e429d5e263ddcdaaf5cbc658c6515be3cacc16daf,False,baselines/banking77_oos/kir25_seed13/msp/eval_results.json,baselines/banking77_oos/kir25_seed13/msp/run_manifest.json,0.8498344869094192,0.8783783783783784,0.5486486486486486,0.979707252162342,0.8180555555555555,0.8916136845292159,0.8729166666666667,0.8180555555555555,0.9125190972222221,0.9856004010774467,0.4041666666666667,,0.004943870997522026,825264.251847385,1228.61328125
baselines,banking77_oos,25,42,,,energy,b632406d4dc4d8871997d8426b7d8b918abea8fdb9a04009906a483ce3abc921,False,baselines/banking77_oos/kir25_seed42/energy/eval_results.json,baselines/banking77_oos/kir25_seed42/energy/run_manifest.json,0.896611642050391,0.8850267379679144,0.3342245989304813,0.9785014226999684,0.8597222222222223,0.9152742865592193,0.8583333333333333,0.8597222222222223,0.9283130787037037,0.9869667243962481,0.31666666666666665,,0.006038422987330705,675673.1034841882,1228.61328125
baselines,banking77_oos,25,42,,,entropy,b73e4e09d83109e007ca714c7ef6580697c56818e2da312a3dc9b52505a14889,False,baselines/banking77_oos/kir25_seed42/entropy/eval_results.json,baselines/banking77_oos/kir25_seed42/entropy/run_manifest.json,0.8946910356832027,0.8850267379679144,0.28342245989304815,0.9811079090617996,0.8511111111111112,0.9114978432247508,0.8770833333333333,0.8511111111111112,0.927480324074074,0.9856636488367064,0.2520833333333333,,0.004535882995696738,899494.1015609879,1228.61328125
baselines,banking77_oos,25,42,,,knn,4a44105ee8fc6faf8ef4ccd0f4de81b48d8b77723ad929e588a238373e6f9b39,False,baselines/banking77_oos/kir25_seed42/knn/eval_results.json,baselines/banking77_oos/kir25_seed42/knn/run_manifest.json,0.9222065063649222,0.8850267379679144,0.24064171122994651,0.9787814489239164,0.8969444444444444,0.9360776924191911,0.8541666666666666,0.8969444444444444,0.9472806712962963,0.9921452389946988,0.23958333333333334,,0.023839981004130095,171141.0759636583,1228.61328125
baselines,banking77_oos,25,42,,,lof,3ff3c51d4c7e1e7f31f7f250a44429403f5a447b66ccc62c9a536311390b9c5b,False,baselines/banking77_oos/kir25_seed42/lof/eval_results.json,baselines/banking77_oos/kir25_seed42/lof/run_manifest.json,0.8972503617945007,0.8850267379679144,0.2620320855614973,0.9785961598992761,0.8636111111111111,0.9175151246864395,0.8583333333333333,0.8636111111111111,0.9319207175925927,0.9888656338489765,0.27708333333333335,,0.06586005599820055,61949.53736619166,1228.61328125
baselines,banking77_oos,25,42,,,msp,95302a4ed1956d5277dc7874262ecd7c84732438e83207084f0e0fcdf4dbd70a,False,baselines/banking77_oos/kir25_seed42/msp/eval_results.json,baselines/banking77_oos/kir25_seed42/msp/run_manifest.json,0.8734476641040805,0.8850267379679144,0.3181818181818182,0.9793539793539794,0.8169444444444445,0.8908072088444646,0.8708333333333333,0.8169444444444445,0.9114849537037037,0.9817372568180539,0.28958333333333336,,0.009885495994240046,412725.87661532435,1228.61328125
baselines,banking77_oos,25,87,,,energy,bb0dc915c73c052b191aa947fd5bc40dc064af6008f51c74a79d13722087d764,False,baselines/banking77_oos/kir25_seed87/energy/eval_results.json,baselines/banking77_oos/kir25_seed87/energy/run_manifest.json,0.9147679324894514,0.850415512465374,0.38227146814404434,0.9716290420988407,0.8847222222222222,0.9261413201512068,0.80625,0.8847222222222222,0.9200144675925926,0.9879065410344378,0.37083333333333335,,0.012271059007616714,332489.6406632485,1228.61328125
baselines,banking77_oos,25,87,,,entropy,1d53013a24ee262556b886147047943fd365c74f10f9b1b10eb7ab5a0d2c3c8b,False,baselines/banking77_oos/kir25_seed87/entropy/eval_results.json,baselines/banking77_oos/kir25_seed87/entropy/run_manifest.json,0.9147679324894514,0.850415512465374,0.3656509695290859,0.9760809567617296,0.8841666666666667,0.9278530826410144,0.8375,0.8841666666666667,0.9160567129629629,0.986866525372275,0.41041666666666665,,0.0046897599822841585,869980.5566622679,1228.61328125
baselines,banking77_oos,25,87,,,knn,136f9281d7b337caaae417a289aaabeeb629a10a85177026704550b445c7a8ee,False,baselines/banking77_oos/kir25_seed87/knn/eval_results.json,baselines/banking77_oos/kir25_seed87/knn/run_manifest.json,0.9298196948682386,0.850415512465374,0.24376731301939059,0.9742206235011991,0.9027777777777778,0.9371395617070357,0.8208333333333333,0.9027777777777778,0.9391047453703704,0.9909839697093705,0.3229166666666667,,0.027839866001158953,146552.42952067917,1228.61328125
baselines,banking77_oos,25,87,,,lof,e971a8d0612f5f06d1c6987c1675d0cbe4d42c34cc2b02638549fcb71e48f004,False,baselines/banking77_oos/kir25_seed87/lof/eval_results.json,baselines/banking77_oos/kir25_seed87/lof/run_manifest.json,0.8880553952683208,0.8559556786703602,0.34349030470914127,0.9747280870121561,0.8463888888888889,0.9060362771335118,0.8354166666666667,0.8463888888888889,0.9237031249999998,0.9883893709614221,0.3770833333333333,,0.05955739101045765,68505.35140606806,1228.61328125
baselines,banking77_oos,25,87,,,msp,7493eb45e2b5b704fcf919f34d1909c290247bb9804f27bf6577829ebe858866,False,baselines/banking77_oos/kir25_seed87/msp/eval_results.json,baselines/banking77_oos/kir25_seed87/msp/run_manifest.json,0.9061525375673377,0.850415512465374,0.40443213296398894,0.9755038759689922,0.8738888888888889,0.9219047619047619,0.8354166666666667,0.8738888888888889,0.9065480324074074,0.9838002573706192,0.4375,,0.007821874023647979,521614.1282338325,1228.61328125
baselines,banking77_oos,50,13,,,energy,0720eef76d36c6ea9932267f6f06feb737f689f9690e2b4eb0dff851d87a994b,False,baselines/banking77_oos/kir50_seed13/energy/eval_results.json,baselines/banking77_oos/kir50_seed13/energy/run_manifest.json,0.7116926973406501,0.9021601016518425,0.6162642947903431,0.9576622181316152,0.6756493506493506,0.7923091566723777,0.908,0.6756493506493506,0.8865279220779221,0.9591296141032755,0.541,,0.006620079977437854,616306.7536804997,1228.61328125
baselines,banking77_oos,50,13,,,entropy,3823c753022ed1cbc20455522511a3a582e9ec6bf196dc8a4ad5f8ea082dcf37,False,baselines/banking77_oos/kir50_seed13/entropy/eval_results.json,baselines/banking77_oos/kir50_seed13/entropy/run_manifest.json,0.7414432989690721,0.9021601016518425,0.6111817026683609,0.9568345323741008,0.6909090909090909,0.8024132730015083,0.904,0.6909090909090909,0.8873737012987013,0.9584315745617796,0.534,,0.007145253999624401,571008.392453854,1228.61328125
