dataset,kir,seed,comparison_method,gold_type,transition,count,rate,denominator
clinc150,0.25,13,single_centroid,known,both_correct,799,0.7008771929824561,1140
clinc150,0.25,13,single_centroid,known,trainable_only_correct,41,0.035964912280701755,1140
clinc150,0.25,13,single_centroid,known,comparison_only_correct,90,0.07894736842105263,1140
clinc150,0.25,13,single_centroid,known,both_incorrect,210,0.18421052631578946,1140
clinc150,0.25,13,single_centroid,oos,both_correct,4296,0.9421052631578948,4560
clinc150,0.25,13,single_centroid,oos,trainable_only_correct,126,0.02763157894736842,4560
clinc150,0.25,13,single_centroid,oos,comparison_only_correct,7,0.0015350877192982456,4560
clinc150,0.25,13,single_centroid,oos,both_incorrect,131,0.028728070175438596,4560
clinc150,0.25,13,fixed_k2,known,both_correct,757,0.6640350877192982,1140
clinc150,0.25,13,fixed_k2,known,trainable_only_correct,83,0.07280701754385965,1140
clinc150,0.25,13,fixed_k2,known,comparison_only_correct,101,0.08859649122807017,1140
clinc150,0.25,13,fixed_k2,known,both_incorrect,199,0.17456140350877192,1140
clinc150,0.25,13,fixed_k2,oos,both_correct,4315,0.9462719298245614,4560
clinc150,0.25,13,fixed_k2,oos,trainable_only_correct,107,0.023464912280701754,4560
clinc150,0.25,13,fixed_k2,oos,comparison_only_correct,34,0.007456140350877193,4560
clinc150,0.25,13,fixed_k2,oos,both_incorrect,104,0.02280701754385965,4560
clinc150,0.25,13,random_partition,known,both_correct,800,0.7017543859649122,1140
clinc150,0.25,13,random_partition,known,trainable_only_correct,40,0.03508771929824561,1140
clinc150,0.25,13,random_partition,known,comparison_only_correct,104,0.0912280701754386,1140
clinc150,0.25,13,random_partition,known,both_incorrect,196,0.17192982456140352,1140
clinc150,0.25,13,random_partition,oos,both_correct,4274,0.9372807017543859,4560
clinc150,0.25,13,random_partition,oos,trainable_only_correct,148,0.03245614035087719,4560
clinc150,0.25,13,random_partition,oos,comparison_only_correct,8,0.0017543859649122807,4560
clinc150,0.25,13,random_partition,oos,both_incorrect,130,0.02850877192982456,4560
clinc150,0.25,13,mogb_minilm,known,both_correct,452,0.39649122807017545,1140
clinc150,0.25,13,mogb_minilm,known,trainable_only_correct,388,0.34035087719298246,1140
clinc150,0.25,13,mogb_minilm,known,comparison_only_correct,6,0.005263157894736842,1140
clinc150,0.25,13,mogb_minilm,known,both_incorrect,294,0.2578947368421053,1140
clinc150,0.25,13,mogb_minilm,oos,both_correct,4422,0.9697368421052631,4560
clinc150,0.25,13,mogb_minilm,oos,trainable_only_correct,0,0.0,4560
clinc150,0.25,13,mogb_minilm,oos,comparison_only_correct,97,0.021271929824561404,4560
clinc150,0.25,13,mogb_minilm,oos,both_incorrect,41,0.008991228070175439,4560
clinc150,0.25,13,mogb_partition_ours_boundary,known,both_correct,698,0.612280701754386,1140
clinc150,0.25,13,mogb_partition_ours_boundary,known,trainable_only_correct,142,0.12456140350877193,1140
clinc150,0.25,13,mogb_partition_ours_boundary,known,comparison_only_correct,37,0.03245614035087719,1140
clinc150,0.25,13,mogb_partition_ours_boundary,known,both_incorrect,263,0.2307017543859649,1140
clinc150,0.25,13,mogb_partition_ours_boundary,oos,both_correct,4398,0.9644736842105263,4560
clinc150,0.25,13,mogb_partition_ours_boundary,oos,trainable_only_correct,24,0.005263157894736842,4560
clinc150,0.25,13,mogb_partition_ours_boundary,oos,comparison_only_correct,42,0.009210526315789473,4560
clinc150,0.25,13,mogb_partition_ours_boundary,oos,both_incorrect,96,0.021052631578947368,4560
clinc150,0.25,13,ours_partition_mogb_boundary,known,both_correct,464,0.4070175438596491,1140
clinc150,0.25,13,ours_partition_mogb_boundary,known,trainable_only_correct,376,0.3298245614035088,1140
clinc150,0.25,13,ours_partition_mogb_boundary,known,comparison_only_correct,15,0.013157894736842105,1140
clinc150,0.25,13,ours_partition_mogb_boundary,known,both_incorrect,285,0.25,1140
clinc150,0.25,13,ours_partition_mogb_boundary,oos,both_correct,4417,0.968640350877193,4560
clinc150,0.25,13,ours_partition_mogb_boundary,oos,trainable_only_correct,5,0.0010964912280701754,4560
clinc150,0.25,13,ours_partition_mogb_boundary,oos,comparison_only_correct,79,0.01732456140350877,4560
clinc150,0.25,13,ours_partition_mogb_boundary,oos,both_incorrect,59,0.01293859649122807,4560
clinc150,0.25,42,single_centroid,known,both_correct,813,0.7131578947368421,1140
clinc150,0.25,42,single_centroid,known,trainable_only_correct,15,0.013157894736842105,1140
clinc150,0.25,42,single_centroid,known,comparison_only_correct,59,0.05175438596491228,1140
clinc150,0.25,42,single_centroid,known,both_incorrect,253,0.2219298245614035,1140
clinc150,0.25,42,single_centroid,oos,both_correct,4259,0.9339912280701754,4560
